title,price
მაღალი წნევით რეცხვის აპარატი Karcher K 4 Classic,"449,00 GEL"
გაზონის ელექტრო საკრეჭი AL-KO CLASSIC 3.82 SE 1400 W,"375,00 GEL"
"შლანგი სარწყავი Bradas AQUA-DROP WAD1/2050 1/2"" 50 მ","75,00 GEL"
შლანგი Bradas WMS3/450 50M,"95,00 GEL"
მოტოცელი Raider RDP-GBC22 1500W,"255,00 GEL"
"აკუმულატორის მაკრატელი ბალახისთვის და ბუჩქისთვის AL-KO GS 7,2 Li (113371)","225,00 GEL"
მარწუხი Pretul PMP-TN4 100 მმ,"4,50 GEL"
ურიკა BRADAS AG222,"187,00 GEL"
ნაკრები ინსტრუმენტების Topmaster 339206 TMP 108 ც,"209,90 GEL"
ტრიმერი AL-KO BC 1200 E 1200 W,"355,00 GEL"
ჯაჭვური ელექტროხერხი Raider RD-ECS21 1800W,"175,00 GEL"
ჯაჭვური ელექტროხერხი AL-KO EKS 2000/35 2000 W,"325,00 GEL"
"შლანგი Bradas White Line WWL1/220 1/2"" 20 მ","65,00 GEL"
ნაკრები Gadget 225202 6 ც,"3,90 GEL"
დამტენი მოწყობილობა Raider Rapid RDP-R20 20V,"49,90 GEL"
აკუმულატორის დრელი-სახრახნისი Crown CT21053LH 12V,"135,00 GEL"
მოტოცელი Lux Garden LX-52CC 1600W,"197,00 GEL"
კუთხვილსაზომი Topmaster 339711 0.25-6 მმ,"25,90 GEL"
საღებავპულტი RAIDER RD-SG01,"37,95 GEL"
ნაკრები ხელსაწყოების Pretul SET-42 42 ც,"69,00 GEL"
კუთხის სახეხი მანქანა Crown CT13293 860W,"97,00 GEL"
ურიკა BRADAS AG212,"147,00 GEL"
სახვრეტელა Pretul PSA-9P,"13,95 GEL"
აკუმულატორის სჭვალსახრახნი Raider RD-CDL35 12V,"85,00 GEL"
აკუმულატორის დრელი-სჭვალსახრახნი Raider RD-CDL34 12V,"85,00 GEL"
ცირკულარული ხერხი Raider RD-CS31 1300W,"185,00 GEL"
ურიკა Pretul TP-5N 95 ლ,"139,90 GEL"
კუთხის სახეხი მანქანა აკუმულატორის Ryobi RAG18125-0 ONE+ 18V,"215,00 GEL"
დრელი დარტყმითი Metabo SBE 650W 10 Hm 16/14/13/30 მმ,"255,00 GEL"
მილის გასაღები Topmaster 210164 0-49 მმ,"58,90 GEL"
სეკატორი ბაღის Bradas V-Series KT-V1025,"23,50 GEL"
ყუთი ინსტრუმენტებისთვის Patrol Formula S 700 Carbo 595x289x328 მმ (SKRS700FCARPOMPG001),"59,00 GEL"
აკუმულატორის კუთხის სახეხი მანქანა Ryobi R18AG-0 18V,"185,00 GEL"
პისტოლეტი სარწყავი რეგულირებადი Bradas Smooth Control White Line WL-EN54M 3 რეჟიმი,"37,00 GEL"
სახეხი მანქანა აკუმულატორის AEG BEWS18-230BL 18V,"1415,00 GEL"
ნიჩაბი ქვიშისთვის Top Garden 380700 0.9 კგ,"10,95 GEL"
სეკატორი Top Garden 382505,"15,70 GEL"
საზომი რულეტი Topmaster Compact 260401 3 მ,"6,55 GEL"
"შლანგი Fitt NTS TOBBY NTSTB1/225 1/2"" 25 მ","75,00 GEL"
აკუმულატორის დრელი-სჭვალსახრახნი + აქსესუარები Raider RD-CDL37 8V,"75,00 GEL"
ჯაჭვური ელექტროხერხი Raider RD-ECS22 2000W,"197,00 GEL"
დარტყმითი დრელი Raider RDP-ID46 900W,"99,00 GEL"
სასხურებელი ზურგსაკიდი Bradas Aqua Spray AS1600 16 ლ,"115,00 GEL"
ინსტრუმენტების ნაკრები Truper JGO-TEL-77 77 ც,"35,70 GEL"
სჭვალსახრახნი AEG BS12G3LI-202C 12V,"315,00 GEL"
ურიკა დასაკეცი Pretul DIA-100P,"78,95 GEL"
"გასაღები მილის ""შვედური"" Gadget 290708 1-1/2""","26,90 GEL"
მრავალფუნქციური ინსტრუმენტი Dremel 3000 130W (F0133000JX),"139,00 GEL"
ინსტრუმენტების ნაკრები Pretul SET-85 83 ც,"75,50 GEL"
დრელი-სჭვალსახრახნი დარტყმითი აკუმულატორის Ryobi ONE+ R18PD3-0 18V,"155,00 GEL"
ურიკა Pretul CAP-50NB 80 ლ,"155,00 GEL"
მრავალფუნქციური ინსტრუმენტი Dremel 3000-1/25 F0133000JT 130W,"219,00 GEL"
კუთხის სახეხი მანქანა AEG WS 2200-230 DMS 2200W,"315,00 GEL"
ხელსაწყოების ჩანთა Ryobi UTB04,"87,00 GEL"
"ნაკრები მაგნიტური ბიტების Topmaster 330149 1/4"" TS8-40 8 ც","21,95 GEL"
როკსაჭრელი Top Garden 382909,"45,50 GEL"
შლანგი Bradas WMS1/220SET 20M + აქსესუარები,"28,00 GEL"
ბაღის ინსტრუმენტების ნაკრები Truper JJ-4 4 ც,"25,70 GEL"
ნაკრები სახრახნისი და ბიტები Gadget 225206 61 ც,"21,45 GEL"
დრელი-სჭვალსახრახნი დარტყმითი აკუმულატორის AEG BSB18C2 18V,"205,00 GEL"
სახრახნისების ნაკრები Truper JOY-15 15 ც,"27,90 GEL"
"გასაღები მილის ""შვედური"" Gadget 290707 1""","17,95 GEL"
ნაკრები სახრახნისის Gadget 6 ც,"13,95 GEL"
გენერატორი ბენზინის AL-KO 2500-C,"1255,00 GEL"
გასაღების ნაკრები GADGET 390157,"11,95 GEL"
ტორსული ხერხი Metabo KGSV 216 M 1700W (619261000),"1095,00 GEL"
ორგანაიზერი Patrol Qbrick System L 531x379x77 მმ,"63,95 GEL"
კერამიკული ფილის საჭრელი Battipav Vip 2125 1400W,"3995,00 GEL"
ქანჩსახრახნი აკუმულატორის დარტყმითი Aeg BSS18SBL2-0 18V,"385,00 GEL"
ლაზერული ნიველირი Bosch GLL 3-80 CG Professional (0601063T00),"1455,00 GEL"
დრელი-სჭვალსახრახნი აკუმულატორის Metabo BS 18 LTX BL Q I,"1455,00 GEL"
ორგანაიზერი Patrol Qbrick System PRO 300 450х358х110 მმ,"69,00 GEL"
მკვნეტარა Pretul PCD-6PX 150 მმ,"6,90 GEL"
უნივერსალური დანა TOPMASTER 370130 158x106 მმ,"25,95 GEL"
შესადუღებელი ინვერტორი Monster MS-220 MMA,"199,00 GEL"
რულეტი Gadget 260711 3მx16მმ,"3,50 GEL"
ხელსაწყოების ყუთი Patrol Formula Carbo S500 462x256x242 მმ,"39,90 GEL"
ლაზერული ნიველირი Bosch GCL 2-15 Professional (0601066E02),"395,00 GEL"
"შლანგი Fiskars Q3 1/2"" 30 მ","97,00 GEL"
საჭრელი სადენის Topmaster 370806 800 მმ,"79,90 GEL"
სახრახნისის და ბიტების ნაკრები Pretul DES-14P 14 ც,"15,50 GEL"
მულტიფუნქციონალური ხის დასამუშავებელი დანადგარი RAIDER RDP-CWM01 2200W,"2445,00 GEL"
პლასტმასის ნიჩაბი Fiskars Solid 1071899,"14,70 GEL"
მცენარეების გადასარგველი ნიჩაბი Fiskars Solid 1072101,"14,70 GEL"
აკუმულატორი Ryobi ONE+ RB1820C 18V 2.0 Ah,"135,00 GEL"
"ხელსაწყო სადენების მოსაჭიმად Truper PE-CA-9 9"" 10-26 AWG","13,90 GEL"
დარტყმითი აკუმულატორის ქანჩსახრახნი Metabo SSW 18 LTX 1750,"2195,00 GEL"
აკუმულატორის დრელი-სჭვალსახრახნი Bosch GSR 120-LI 12V (06019G8002),"275,00 GEL"
ტუმბო AL-KO Drain 7500 Classic 450W (112822),"185,00 GEL"
საზომი რულეტი Topmaster Compact 260402 5 მ,"9,95 GEL"
ბუჩქის საკრეჭი AL-KO HT 550 Safety Cut 550W (112680),"325,00 GEL"
შლანგი Bradas WBC3/425 25M,"65,00 GEL"
კუთხის სახეხი მანქანა აკუმულატორის Metabo WVB 18 LT,"1395,00 GEL"
ალმასის დისკი Raider Universal RD-DD24 125 მმ,"10,50 GEL"
ქანჩსახრახნი აკუმულატორის დარტყმითი Aeg BSS18S12BL2-0 18V,"445,00 GEL"
ბაღის ჩასაკეცი ხელის ხერხი Top Garden TG 180 მმ,"9,50 GEL"
გენერატორი ბენზინის ინვერტორული Konner&Sohnen KSB 22i S 2000W,"1155,00 GEL"
გასაღები გასახსნელი GADGET 291106,"8,95 GEL"
შლანგი Bradas WMS1/250 50M,"59,70 GEL"
"შლანგი Fiskars Q3 3/4"" 20 მ","122,00 GEL"
ხერხი Gadget 371115 300 მმ,"8,55 GEL"
ბეწვა ხერხი Raider RD-JS32 650W (050127),"88,90 GEL"
აკუმულატორის დრელი-სახრახნისი Metabo POWERMAXX BS 10.8V (600079550),"295,00 GEL"
რულეტი Gadget 260312 3მx16მმ,"2,95 GEL"
სახეხი მანქანა AEG BEWS18-125BL 18V (აკუმულატორის და დამტენის გარეშე),"345,00 GEL"
სეკატორი Top Garden 382503,"9,90 GEL"
ხელის ხერხი ბაღის TopGarden 371521 270mm,"9,90 GEL"
"ისნტრუმენტი კაბელის იზოლაციის მოსახსნელი Truper PEC-AUT 8""","24,90 GEL"
მიკრომეტრი Topmaster 280501 0-25 x 0.01 მმ,"37,50 GEL"
